"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","stimulus","response","task","word","condition","list","question_order","correct","correct_answer"
"","2376","survey-likert","27","2.0.0","427440","pkznlthk927","","{""Q0"":1}","recognition","Ball","unrelated","1","[0]","",""
"","2215","survey-likert","28","2.0.0","429657","pkznlthk927","","{""Q0"":3}","recognition","Cushion","weakly related","1","[0]","",""
"","2523","survey-likert","29","2.0.0","432182","pkznlthk927","","{""Q0"":0}","recognition","Floor","weakly related","1","[0]","",""
"","3538","survey-likert","30","2.0.0","435723","pkznlthk927","","{""Q0"":3}","recognition","Couch","studied","1","[0]","",""
"","1796","survey-likert","31","2.0.0","437521","pkznlthk927","","{""Q0"":1}","recognition","Salty","weakly related","6","[0]","",""
"","1842","survey-likert","32","2.0.0","439365","pkznlthk927","","{""Q0"":1}","recognition","Cherry","weakly related","6","[0]","",""
"","1510","survey-likert","33","2.0.0","440877","pkznlthk927","","{""Q0"":1}","recognition","Sweet","critical","6","[0]","",""
"","3184","survey-likert","34","2.0.0","444063","pkznlthk927","","{""Q0"":1}","recognition","Sour","studied","6","[0]","",""
"","32568","survey-likert","35","2.0.0","476633","pkznlthk927","","{""Q0"":2}","recognition","Sugar","studied","6","[0]","",""
"","3583","survey-likert","36","2.0.0","480217","pkznlthk927","","{""Q0"":3}","recognition","Door","unrelated","6","[0]","",""
"","1674","survey-likert","37","2.0.0","481893","pkznlthk927","","{""Q0"":1}","recognition","Ghost","unrelated","6","[0]","",""
"","4837","survey-likert","38","2.0.0","486731","pkznlthk927","","{""Q0"":0}","recognition","Click: Definitely New","attention_check","none","[0]","",""
"","7016","survey-likert","39","2.0.0","493748","pkznlthk927","","{""Q0"":1}","recognition","Stop","unrelated","3","[0]","",""
"","2414","survey-likert","40","2.0.0","496164","pkznlthk927","","{""Q0"":3}","recognition","Needle","critical","3","[0]","",""
"","2298","survey-likert","41","2.0.0","498463","pkznlthk927","","{""Q0"":1}","recognition","Splinter","weakly related","3","[0]","",""
"","2320","survey-likert","42","2.0.0","500784","pkznlthk927","","{""Q0"":2}","recognition","Pin","studied","3","[0]","",""
"","2000","survey-likert","43","2.0.0","502786","pkznlthk927","","{""Q0"":2}","recognition","Fast","unrelated","3","[0]","",""
"","1715","survey-likert","44","2.0.0","504502","pkznlthk927","","{""Q0"":3}","recognition","Thread","studied","3","[0]","",""
"","3703","survey-likert","45","2.0.0","508206","pkznlthk927","","{""Q0"":3}","recognition","Stitch","weakly related","3","[0]","",""
"","3432","survey-likert","46","2.0.0","511639","pkznlthk927","","{""Q0"":1}","recognition","Fish","unrelated","5","[0]","",""
"","3872","survey-likert","47","2.0.0","515513","pkznlthk927","","{""Q0"":1}","recognition","Coma","weakly related","5","[0]","",""
"","1620","survey-likert","48","2.0.0","517134","pkznlthk927","","{""Q0"":3}","recognition","Calm","weakly related","5","[0]","",""
"","1450","survey-likert","49","2.0.0","518586","pkznlthk927","","{""Q0"":2}","recognition","Sleep","critical","5","[0]","",""
"","3411","survey-likert","50","2.0.0","521998","pkznlthk927","","{""Q0"":3}","recognition","Tired","studied","5","[0]","",""
"","1926","survey-likert","51","2.0.0","523925","pkznlthk927","","{""Q0"":3}","recognition","Bed","studied","5","[0]","",""
"","2114","survey-likert","52","2.0.0","526041","pkznlthk927","","{""Q0"":0}","recognition","Chess","unrelated","5","[0]","",""
"","1746","survey-likert","53","2.0.0","527789","pkznlthk927","","{""Q0"":3}","recognition","Hill","studied","2","[0]","",""
"","1414","survey-likert","54","2.0.0","529205","pkznlthk927","","{""Q0"":3}","recognition","Mountain","critical","2","[0]","",""
"","1639","survey-likert","55","2.0.0","530846","pkznlthk927","","{""Q0"":3}","recognition","Peak","studied","2","[0]","",""
"","1999","survey-likert","56","2.0.0","532848","pkznlthk927","","{""Q0"":1}","recognition","Draw","unrelated","2","[0]","",""
"","2198","survey-likert","57","2.0.0","535048","pkznlthk927","","{""Q0"":1}","recognition","Snow","weakly related","2","[0]","",""
"","1386","survey-likert","58","2.0.0","536436","pkznlthk927","","{""Q0"":1}","recognition","Car","unrelated","2","[0]","",""
"","1374","survey-likert","59","2.0.0","537812","pkznlthk927","","{""Q0"":3}","recognition","Hike","weakly related","2","[0]","",""
"","12534","survey-likert","60","2.0.0","550348","pkznlthk927","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":1}","","","","","[0,1,2,3,4,5]","",""
"","7639","html-keyboard-response","61","2.0.0","557989","pkznlthk927","
    <h2>Speed Memory Game</h2>
    <p>Press <strong>S</strong> if the word was studied.</p>
    <p>Press <strong>N</strong> if it was NOT studied.</p>
    <p>Respond as quickly as possible. (Please note it may be case sensitive)</p>
    <p>Press any key to begin.</p>
  ","CapsLock","","","","","","",""
"","1638","html-keyboard-response","62","2.0.0","559628","pkznlthk927","<h1>Click N</h1>","N","speed_attention_check","","","","","true",""
"","3389","html-keyboard-response","63","2.0.0","563019","pkznlthk927","<h1>Couch</h1>","S","speed_game","Couch","","","","true","s"
"","null","html-keyboard-response","64","2.0.0","563822","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","1615","html-keyboard-response","65","2.0.0","565439","pkznlthk927","<h1>Sour</h1>","S","speed_game","Sour","","","","true","s"
"","null","html-keyboard-response","66","2.0.0","566242","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","774","html-keyboard-response","67","2.0.0","567019","pkznlthk927","<h1>Peak</h1>","S","speed_game","Peak","","","","true","s"
"","null","html-keyboard-response","68","2.0.0","567820","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","734","html-keyboard-response","69","2.0.0","568556","pkznlthk927","<h1>Hill</h1>","S","speed_game","Hill","","","","true","s"
"","null","html-keyboard-response","70","2.0.0","569359","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","503","html-keyboard-response","71","2.0.0","569865","pkznlthk927","<h1>Smooth</h1>","S","speed_game","Smooth","","","","true","s"
"","null","html-keyboard-response","72","2.0.0","570667","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","601","html-keyboard-response","73","2.0.0","571269","pkznlthk927","<h1>Tired</h1>","S","speed_game","Tired","","","","true","s"
"","null","html-keyboard-response","74","2.0.0","572071","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","533","html-keyboard-response","75","2.0.0","572607","pkznlthk927","<h1>Sugar</h1>","S","speed_game","Sugar","","","","true","s"
"","null","html-keyboard-response","76","2.0.0","573409","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","2677","html-keyboard-response","77","2.0.0","576088","pkznlthk927","<h1>Rough</h1>","N","speed_game","Rough","","","","true","n"
"","null","html-keyboard-response","78","2.0.0","576891","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","697","html-keyboard-response","79","2.0.0","577590","pkznlthk927","<h1>Sleep</h1>","S","speed_game","Sleep","","","","false","n"
"","null","html-keyboard-response","80","2.0.0","578393","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","807","html-keyboard-response","81","2.0.0","579202","pkznlthk927","<h1>Table</h1>","S","speed_game","Table","","","","true","s"
"","null","html-keyboard-response","82","2.0.0","580004","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","623","html-keyboard-response","83","2.0.0","580630","pkznlthk927","<h1>Mountain</h1>","S","speed_game","Mountain","","","","false","n"
"","null","html-keyboard-response","84","2.0.0","581432","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","675","html-keyboard-response","85","2.0.0","582109","pkznlthk927","<h1>Needle</h1>","S","speed_game","Needle","","","","false","n"
"","null","html-keyboard-response","86","2.0.0","582918","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","974","html-keyboard-response","87","2.0.0","583894","pkznlthk927","<h1>Touch</h1>","N","speed_game","Touch","","","","false","s"
"","null","html-keyboard-response","88","2.0.0","584697","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","723","html-keyboard-response","89","2.0.0","585422","pkznlthk927","<h1>Bed</h1>","S","speed_game","Bed","","","","true","s"
"","null","html-keyboard-response","90","2.0.0","586239","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","731","html-keyboard-response","91","2.0.0","586971","pkznlthk927","<h1>Sweet</h1>","S","speed_game","Sweet","","","","false","n"
"","null","html-keyboard-response","92","2.0.0","587773","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","726","html-keyboard-response","93","2.0.0","588501","pkznlthk927","<h1>Pin</h1>","S","speed_game","Pin","","","","true","s"
"","null","html-keyboard-response","94","2.0.0","589303","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","780","html-keyboard-response","95","2.0.0","590087","pkznlthk927","<h1>Chair</h1>","S","speed_game","Chair","","","","false","n"
"","null","html-keyboard-response","96","2.0.0","590890","pkznlthk927","<h2 style='color:red;'>Wrong </h2>","null","","","","","","",""
"","1377","html-keyboard-response","97","2.0.0","592268","pkznlthk927","<h1>Thread</h1>","S","speed_game","Thread","","","","true","s"
"","null","html-keyboard-response","98","2.0.0","593071","pkznlthk927","<h2 style='color:green;'>Correct! </h2>","null","","","","","","",""
"","2692","html-keyboard-response","99","2.0.0","595766","pkznlthk927","
      <h2>Game Results</h2>
      <p>Accuracy: 67%</p>
      <p>Average RT: 1052 ms</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","31768","survey-text","100","2.0.0","627547","pkznlthk927","","{""Q0"":""i thought it was about memory"",""Q1"":""It felt fun"",""Q2"":""It was moderately challenging"",""Q3"":""no"",""Q4"":""good job guys!""}","","","","","","",""
