rt,trial_type,trial_index,trial_number,time_elapsed,random_id,stimulus,response,task,word,condition,list,question_order,correct_answer,correct,file_name,participant_id,stimulus_list,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,likert_rating,experiment_about,feel_while_completing,subjective_task_difficulty,technical_issues,feedback,participant_is_group_member
1614,survey-likert,21,11,1322381,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Table,studied,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1897,survey-likert,22,12,1324281,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Floor,weakly related,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2164,survey-likert,23,13,1326447,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Cushion,weakly related,1,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2465,survey-likert,24,14,1328915,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Chalk,weakly related,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1980,survey-likert,25,15,1330897,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Smooth,studied,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2115,survey-likert,26,16,1333014,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Spike,weakly related,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2747,survey-likert,27,17,1335764,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Project,unrelated,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2732,survey-likert,28,18,1338497,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Rough,critical,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2015,survey-likert,29,19,1340514,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Key,unrelated,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1614,survey-likert,30,20,1342131,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Touch,studied,4,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2348,survey-likert,31,21,1344481,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Click: Definitely New,attention_check,none,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
82747,survey-likert,32,22,1427228,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Thread,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2467,survey-likert,33,23,1429697,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Needle,critical,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2697,survey-likert,34,24,1432396,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Stop,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1764,survey-likert,35,25,1434163,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Stitch,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1699,survey-likert,36,26,1435864,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Pin,studied,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1780,survey-likert,37,27,1437647,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Fast,unrelated,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
41948,survey-likert,38,28,1479596,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Splinter,weakly related,3,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1814,survey-likert,39,29,1481413,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Peak,studied,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1647,survey-likert,40,30,1483063,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Draw,unrelated,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1765,survey-likert,41,31,1484830,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Mountain,critical,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1647,survey-likert,42,32,1486479,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Hill,studied,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1814,survey-likert,43,33,1488295,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Snow,weakly related,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
3033,survey-likert,44,34,1491329,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Hike,weakly related,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1449,survey-likert,45,35,1492780,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Car,unrelated,2,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1680,survey-likert,46,36,1494462,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sleep,critical,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2781,survey-likert,47,37,1497246,p05ywlxguyt,NA,"{""Q0"":0}",recognition,Fish,unrelated,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1765,survey-likert,48,38,1499013,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Calm,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1598,survey-likert,49,39,1500613,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Coma,weakly related,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1581,survey-likert,50,40,1502196,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Bed,studied,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
3631,survey-likert,51,41,1505830,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Tired,studied,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1731,survey-likert,52,42,1507564,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Chess,unrelated,5,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2097,survey-likert,53,43,1509663,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Cherry,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1964,survey-likert,54,44,1511630,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sour,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1564,survey-likert,55,45,1513196,p05ywlxguyt,NA,"{""Q0"":3}",recognition,Sweet,critical,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2148,survey-likert,56,46,1515345,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Door,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2498,survey-likert,57,47,1517844,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Salty,weakly related,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
2134,survey-likert,58,48,1519980,p05ywlxguyt,NA,"{""Q0"":1}",recognition,Ghost,unrelated,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1930,survey-likert,59,49,1521912,p05ywlxguyt,NA,"{""Q0"":2}",recognition,Sugar,studied,6,[0],NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1039,html-keyboard-response,62,50,1539179,p05ywlxguyt,<h1>Table</h1>,s,speed_game,Table,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
650,html-keyboard-response,64,51,1540633,p05ywlxguyt,<h1>Needle</h1>,s,speed_game,Needle,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1636,html-keyboard-response,66,52,1543074,p05ywlxguyt,<h1>Sweet</h1>,s,speed_game,Sweet,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
633,html-keyboard-response,68,53,1544512,p05ywlxguyt,<h1>Mountain</h1>,s,speed_game,Mountain,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
1448,html-keyboard-response,70,54,1546764,p05ywlxguyt,<h1>Pin</h1>,n,speed_game,Pin,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
607,html-keyboard-response,72,55,1548175,p05ywlxguyt,<h1>Chair</h1>,s,speed_game,Chair,NA,NA,NA,n,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
709,html-keyboard-response,74,56,1549689,p05ywlxguyt,<h1>Peak</h1>,s,speed_game,Peak,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
770,html-keyboard-response,76,57,1551263,p05ywlxguyt,<h1>Touch</h1>,n,speed_game,Touch,NA,NA,NA,s,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
714,html-keyboard-response,78,58,1552782,p05ywlxguyt,<h1>Tired</h1>,s,speed_game,Tired,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
626,html-keyboard-response,80,59,1554212,p05ywlxguyt,<h1>Bed</h1>,s,speed_game,Bed,NA,NA,NA,s,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_false_recall/analysis/../data/raw_data/p05ywlxguyt_1772176624982.csv,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory,Confused on how bad my memory was,Moderately challenging,Nope,Nope,FALSE
